title , platform , release_date , developer , genres , reviewer , metascore , review
Clockwork Tales: Of Glass and Ink,Xbox One,Jan-22-2016,Artifex Mundi,Puzzle | Hidden Object | General,TrueAchievements,80,Clockwork Tales: Of Glass and Ink will surprise many gamers. While genre aficionados might find the gameplay a bit too simple most will appreciate its accessibility.
Blood Bowl 2,Xbox One,Sep-22-2015,Cyanide,Sports | General | Team | Football | Arcade,Brash Games,80,Minor design hiccup aside Blood Bowl 2 is an otherwise resounding success that does enough to please fans of the board game while delivering enough in the way of exciting and accessible gameplay to make this a genuine option for those with no prior interest in the Warhammer brand.
Mercenaries Saga 2: Order Of The Silver Eagle,3DS,Jul-2-2015,RideonJapan |Inc. | Ride On,Strategy | Turn-Based | Tactics,GameGrin,80,Considering my expectations weren’t high the game sat rather well with me and scratched my FF Advance Tactics itch which wasn’t satisfied with my gander at Blazing Souls: Accelate on the PSP. Whilst the game doesn’t have really any truly unique selling points it maintains itself as being a rather solid SRPG with the music and graphics to match these expectations.
Verdun,PC,Apr-28-2015,M2H | Blackmill Games,General | Historic | Action | Shooter | First-Person | Tactical | Arcade,GameWatcher,90,Much like the conflict that the game shares its namesake with Verdun is a ferocious and tense multiplayer shooter the likes of which we haven’t seen in a long time.
Dungeons 2,PC,Apr-24-2015,Kalypso,Strategy | General,Gamer.nl,85,Dungeons 2 is a colorful strategy game like Dungeon Keeper. The charming style and the mix of running ominous dungeons and raiding the world makes Dungeons 2 a solid game. The terrible jokes during the campaign however do not do the atmosphere in this game good.
Mario vs. Donkey Kong: Tipping Stars,3DS,Mar-5-2015,Nintendo | Nintendo Software Technology,Puzzle | Action | Platformer | 2D,God is a Geek,90,A superb puzzle game that has the added bonus of being cross-buy.
Super Galaxy Squadron,PC,Jan-23-2015,Psyche Studios,Action | Shooter | Scrolling | Shoot-'Em-Up | Vertical,CGMagazine,85,Super Galaxy Squadron feels comfortingly like an arcade cabinet I might have once slipped a quarter into at the Pizza Hut down the road.
Duke Nukem 3D: Megaton Edition,PlayStation 3,Jan-6-2015,Abstraction Games,Action | Miscellaneous | Shooter | Compilation | First-Person | Sci-Fi,Dealspwn,80,Level design is still exceptional; expansive with a real sense of place.
Road Not Taken,PlayStation 4,Aug-5-2014,Spry Fox,Miscellaneous | General | Puzzle | Puzzle | General,Gamestyle,90,A wonderful Roguelike puzzle game that feel unique.
Inazuma Eleven 3: Team Ogre Attacks!,3DS,Feb-14-2014,Level 5,Sports | Traditional | Soccer | Arcade,Cubed3,80,Whilst this 3DS release is nothing more than a port of a DS game from Japan its charm and addictive gameplay cannot be argued against with the intriguing storyline and smart Touch Screen tactical football battles making this RPG-with-a-twist one to definitely check out.
BioShock Infinite: Burial at Sea - Episode One,PC,Nov-12-2013,Irrational Games,Action | Shooter | Shooter | First-Person | Sci-Fi | Sci-Fi | Arcade,games(TM),90,It’s an affectionately crafted homage to the first game retroactively building on the grim story and Ayn Rand-ian themes galvanising them with a fresh perspective whilst simultaneously tying Rapture more wholly into the Columbian narrative. It’s intelligent indulgent and nostalgic in equal measure left dangling on a transfixing narrative hook. It’s everything we love about BioShock condensed.
Castlevania: Lords of Shadow - Mirror of Fate HD,PlayStation 3,Oct-29-2013,Mercury Steam,Action Adventure | Fantasy | General | Fantasy,Vandal,80,It feels limited some times something we can understand taking into account that it comes from a 3DS version. However if you’re a fan of the subseries created by MercurySteam and if you haven’t played before it’s a game you should play.
Disney DuckTales Remastered,Xbox 360,Sep-11-2013,WayForward,Action | Platformer | Platformer | 2D | 2D,Machinima,90,If you’re looking for a fun maddening and nostalgic romp through your 1980s childhood DuckTales: Remastered fits that bill.
Tekken Revolution,PlayStation 3,Jun-11-2013,Namco Bandai Games,Action | Fighting | Fighting | 3D | 3D,Playstation Official Magazine Australia,80,It’s just like being back in the arcades (with lots of Japanese kids kicking your arse). [August 2013 p79]
Rogue Trooper: Quartz Zone Massacre,Wii,Dec-4-2009,Rebellion,Action | Shooter | Shooter | Third-Person | Sci-Fi | Sci-Fi | Arcade,Games Master UK,81,A ballsy shooter with great ideas all of which have been borrowed and done better elsewhere. [May 2009 p.69]
Excitebike: World Rally,Wii,Nov-9-2009,Monster Games Inc.,Driving | Racing | Arcade | Motorcycle | Other | Motocross | Motocross,Nintendo Life,90,With more tracks more bonus features and more strategic racing challenges Excitebike: World Rally is a racing game that will keep you challenged with its ever-increasing difficulty and entertained with its track editor and online play.
Need for Speed: Nitro,DS,Nov-2-2009,Firebrand Games,Driving | Racing | Simulation | GT / Street | GT / Street | Automobile,Cheat Code Central,78,Need for Speed: Nitro isnt the best racer on the DS. Its not even the best goofy racer on the DS an honor that will probably always belong to the consoles iteration of Mario Kart. It is however a lot of fun to play.
Major League Baseball 2K8,Xbox 360,Mar-3-2008,Kush Games,Sports | Traditional | Team | Baseball | Sim | Sim,Planet Xbox 360,91,The game is an upgrade in every way from last years solid offering making this one fantastic title every baseball fan should check out.
Nobunaga's Ambition: Rise to Power,PlayStation 2,Feb-5-2008,Koei,Strategy | Real-Time | Historic,1UP,85,Real-time battles aside Rise to Power is a surprisingly good strategy game for the PS2. Its extremely steep learning curve will limit its appeal but its a rewarding experience for those with the patience to learn the games nuances. And with the sheer amount of replayability it offers you get a lot of bang for your buck.
